from,to,type
candidate_0,email_0,HAS_EMAIL
candidate_0,company_1,WORKED_AT
candidate_0,skill_react,HAS_SKILL
candidate_0,skill_java,HAS_SKILL
candidate_0,skill_excel,HAS_SKILL
candidate_0,trait_analytical,HAS_TRAIT
candidate_0,trait_detail-oriented,HAS_TRAIT
candidate_0,task_write_code,ASSIGNED_TASK
candidate_0,feedback_0,HAS_FEEDBACK
candidate_0,placement_0,PLACED_IN
candidate_1,email_1,HAS_EMAIL
candidate_1,company_17,WORKED_AT
candidate_1,skill_aws,HAS_SKILL
candidate_1,skill_machine learning,HAS_SKILL
candidate_1,skill_python,HAS_SKILL
candidate_1,trait_team_player,HAS_TRAIT
candidate_1,trait_organized,HAS_TRAIT
candidate_1,task_prepare_report,ASSIGNED_TASK
candidate_1,feedback_1,HAS_FEEDBACK
candidate_1,placement_1,PLACED_IN
candidate_2,email_2,HAS_EMAIL
candidate_2,company_7,WORKED_AT
candidate_2,skill_salesforce,HAS_SKILL
candidate_2,skill_python,HAS_SKILL
candidate_2,skill_excel,HAS_SKILL
candidate_2,trait_organized,HAS_TRAIT
candidate_2,trait_detail-oriented,HAS_TRAIT
candidate_2,task_data_entry,ASSIGNED_TASK
candidate_2,feedback_2,HAS_FEEDBACK
candidate_2,placement_2,PLACED_IN
candidate_3,email_3,HAS_EMAIL
candidate_3,company_0,WORKED_AT
candidate_3,skill_aws,HAS_SKILL
candidate_3,skill_nursing,HAS_SKILL
candidate_3,skill_java,HAS_SKILL
candidate_3,trait_detail-oriented,HAS_TRAIT
candidate_3,trait_organized,HAS_TRAIT
candidate_3,task_lead_project,ASSIGNED_TASK
candidate_3,feedback_3,HAS_FEEDBACK
candidate_3,placement_3,PLACED_IN
candidate_4,email_4,HAS_EMAIL
candidate_4,company_0,WORKED_AT
candidate_4,skill_react,HAS_SKILL
candidate_4,skill_excel,HAS_SKILL
candidate_4,skill_nursing,HAS_SKILL
candidate_4,trait_analytical,HAS_TRAIT
candidate_4,trait_empathetic,HAS_TRAIT
candidate_4,task_write_code,ASSIGNED_TASK
candidate_4,feedback_4,HAS_FEEDBACK
candidate_4,placement_4,PLACED_IN
candidate_5,email_5,HAS_EMAIL
candidate_5,company_16,WORKED_AT
candidate_5,skill_nursing,HAS_SKILL
candidate_5,skill_sql,HAS_SKILL
candidate_5,skill_aws,HAS_SKILL
candidate_5,trait_detail-oriented,HAS_TRAIT
candidate_5,trait_empathetic,HAS_TRAIT
candidate_5,task_lead_project,ASSIGNED_TASK
candidate_5,feedback_5,HAS_FEEDBACK
candidate_5,placement_5,PLACED_IN
candidate_6,email_6,HAS_EMAIL
candidate_6,company_17,WORKED_AT
candidate_6,skill_machine learning,HAS_SKILL
candidate_6,skill_nursing,HAS_SKILL
candidate_6,skill_excel,HAS_SKILL
candidate_6,trait_analytical,HAS_TRAIT
candidate_6,trait_leader,HAS_TRAIT
candidate_6,task_write_code,ASSIGNED_TASK
candidate_6,feedback_6,HAS_FEEDBACK
candidate_6,placement_6,PLACED_IN
candidate_7,email_7,HAS_EMAIL
candidate_7,company_2,WORKED_AT
candidate_7,skill_nursing,HAS_SKILL
candidate_7,skill_react,HAS_SKILL
candidate_7,skill_salesforce,HAS_SKILL
candidate_7,trait_analytical,HAS_TRAIT
candidate_7,trait_organized,HAS_TRAIT
candidate_7,task_data_entry,ASSIGNED_TASK
candidate_7,feedback_7,HAS_FEEDBACK
candidate_7,placement_7,PLACED_IN
candidate_8,email_8,HAS_EMAIL
candidate_8,company_14,WORKED_AT
candidate_8,skill_excel,HAS_SKILL
candidate_8,skill_aws,HAS_SKILL
candidate_8,skill_python,HAS_SKILL
candidate_8,trait_team_player,HAS_TRAIT
candidate_8,trait_leader,HAS_TRAIT
candidate_8,task_write_code,ASSIGNED_TASK
candidate_8,feedback_8,HAS_FEEDBACK
candidate_8,placement_8,PLACED_IN
candidate_9,email_9,HAS_EMAIL
candidate_9,company_11,WORKED_AT
candidate_9,skill_sql,HAS_SKILL
candidate_9,skill_excel,HAS_SKILL
candidate_9,skill_python,HAS_SKILL
candidate_9,trait_creative,HAS_TRAIT
candidate_9,trait_analytical,HAS_TRAIT
candidate_9,task_diagnose_patient,ASSIGNED_TASK
candidate_9,feedback_9,HAS_FEEDBACK
candidate_9,placement_9,PLACED_IN
candidate_10,email_10,HAS_EMAIL
candidate_10,company_15,WORKED_AT
candidate_10,skill_salesforce,HAS_SKILL
candidate_10,skill_machine learning,HAS_SKILL
candidate_10,skill_nursing,HAS_SKILL
candidate_10,trait_empathetic,HAS_TRAIT
candidate_10,trait_organized,HAS_TRAIT
candidate_10,task_write_code,ASSIGNED_TASK
candidate_10,feedback_10,HAS_FEEDBACK
candidate_10,placement_10,PLACED_IN
candidate_11,email_11,HAS_EMAIL
candidate_11,company_14,WORKED_AT
candidate_11,skill_sql,HAS_SKILL
candidate_11,skill_python,HAS_SKILL
candidate_11,skill_react,HAS_SKILL
candidate_11,trait_organized,HAS_TRAIT
candidate_11,trait_analytical,HAS_TRAIT
candidate_11,task_lead_project,ASSIGNED_TASK
candidate_11,feedback_11,HAS_FEEDBACK
candidate_11,placement_11,PLACED_IN
candidate_12,email_12,HAS_EMAIL
candidate_12,company_13,WORKED_AT
candidate_12,skill_python,HAS_SKILL
candidate_12,skill_java,HAS_SKILL
candidate_12,skill_emr,HAS_SKILL
candidate_12,trait_leader,HAS_TRAIT
candidate_12,trait_analytical,HAS_TRAIT
candidate_12,task_lead_project,ASSIGNED_TASK
candidate_12,feedback_12,HAS_FEEDBACK
candidate_12,placement_12,PLACED_IN
candidate_13,email_13,HAS_EMAIL
candidate_13,company_13,WORKED_AT
candidate_13,skill_python,HAS_SKILL
candidate_13,skill_emr,HAS_SKILL
candidate_13,skill_excel,HAS_SKILL
candidate_13,trait_detail-oriented,HAS_TRAIT
candidate_13,trait_leader,HAS_TRAIT
candidate_13,task_lead_project,ASSIGNED_TASK
candidate_13,feedback_13,HAS_FEEDBACK
candidate_13,placement_13,PLACED_IN
candidate_14,email_14,HAS_EMAIL
candidate_14,company_10,WORKED_AT
candidate_14,skill_react,HAS_SKILL
candidate_14,skill_nursing,HAS_SKILL
candidate_14,skill_python,HAS_SKILL
candidate_14,trait_organized,HAS_TRAIT
candidate_14,trait_leader,HAS_TRAIT
candidate_14,task_prepare_report,ASSIGNED_TASK
candidate_14,feedback_14,HAS_FEEDBACK
candidate_14,placement_14,PLACED_IN
candidate_15,email_15,HAS_EMAIL
candidate_15,company_0,WORKED_AT
candidate_15,skill_salesforce,HAS_SKILL
candidate_15,skill_excel,HAS_SKILL
candidate_15,skill_java,HAS_SKILL
candidate_15,trait_creative,HAS_TRAIT
candidate_15,trait_organized,HAS_TRAIT
candidate_15,task_conduct_interview,ASSIGNED_TASK
candidate_15,feedback_15,HAS_FEEDBACK
candidate_15,placement_15,PLACED_IN
candidate_16,email_16,HAS_EMAIL
candidate_16,company_7,WORKED_AT
candidate_16,skill_java,HAS_SKILL
candidate_16,skill_python,HAS_SKILL
candidate_16,skill_excel,HAS_SKILL
candidate_16,trait_leader,HAS_TRAIT
candidate_16,trait_analytical,HAS_TRAIT
candidate_16,task_conduct_interview,ASSIGNED_TASK
candidate_16,feedback_16,HAS_FEEDBACK
candidate_16,placement_16,PLACED_IN
candidate_17,email_17,HAS_EMAIL
candidate_17,company_11,WORKED_AT
candidate_17,skill_salesforce,HAS_SKILL
candidate_17,skill_emr,HAS_SKILL
candidate_17,skill_aws,HAS_SKILL
candidate_17,trait_leader,HAS_TRAIT
candidate_17,trait_detail-oriented,HAS_TRAIT
candidate_17,task_lead_project,ASSIGNED_TASK
candidate_17,feedback_17,HAS_FEEDBACK
candidate_17,placement_17,PLACED_IN
candidate_18,email_18,HAS_EMAIL
candidate_18,company_12,WORKED_AT
candidate_18,skill_excel,HAS_SKILL
candidate_18,skill_python,HAS_SKILL
candidate_18,skill_salesforce,HAS_SKILL
candidate_18,trait_empathetic,HAS_TRAIT
candidate_18,trait_creative,HAS_TRAIT
candidate_18,task_write_code,ASSIGNED_TASK
candidate_18,feedback_18,HAS_FEEDBACK
candidate_18,placement_18,PLACED_IN
candidate_19,email_19,HAS_EMAIL
candidate_19,company_14,WORKED_AT
candidate_19,skill_react,HAS_SKILL
candidate_19,skill_excel,HAS_SKILL
candidate_19,skill_python,HAS_SKILL
candidate_19,trait_team_player,HAS_TRAIT
candidate_19,trait_leader,HAS_TRAIT
